code,current,name,gender,function,country_code,country_long,nationality,nationality_code,disciplines,events,birth_date
1927179,TRUE,CHEN Keyi,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],23-07-1995
1927180,TRUE,DOU Xinrong,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],27-05-2001
1927181,TRUE,GU Yaoyao,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],22-11-1995
1927182,TRUE,HU Yu,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],09-04-1999
1927184,TRUE,LIU Xiaoqian,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],16-02-1996
1927185,TRUE,MA Xiaodan,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],20-05-1998
1927186,TRUE,RUAN Hongting,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],06-10-1995
1927187,TRUE,SU Qi,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],07-01-2000
1927188,TRUE,SUN Yue,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],31-12-1999
1927191,TRUE,WANG Xiao,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],12-10-1998
1927195,TRUE,YANG Feifei,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],05-10-1997
1927198,TRUE,ZHOU Yan,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],05-06-1998
1927205,TRUE,YAN Meiling,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],14-01-1997
1927209,TRUE,SRISA - ARD Jenjira,Female,Athlete,THA,Thailand,Thailand,THA,['Swimming'],"[""Women's 50m Freestyle""]",16-04-1995
1927211,TRUE,WANG Wanyu,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rugby Sevens'],['Women'],14-02-1997
1927227,TRUE,KAEWSRIYONG Dulyawat,Male,Athlete,THA,Thailand,Thailand,THA,['Swimming'],"[""Men's 100m Freestyle""]",13-08-2002
1927245,TRUE,CHEN Xiao,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],11-03-1999
1927246,TRUE,DENG Zewen,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],06-02-1997
1927247,TRUE,DONG Wenxin,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],12-03-2001
1927250,TRUE,LU Yiwen,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],16-05-1996
1927251,TRUE,NONG Sanfeng,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],11-02-1998
1927254,TRUE,SHEN Yineng,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],18-01-1995
1927256,TRUE,WANG Huan,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],08-10-1997
1927258,TRUE,WANG Xuan,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],11-12-2002
1927260,TRUE,XIONG Dunhan,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],11-11-1998
1927261,TRUE,YAN Siya,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],11-05-2002
1927262,TRUE,YAN Jing,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],31-03-1997
1927265,TRUE,ZHANG Jing,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],16-06-1996
